coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,1,-,,,,,
,73,0.001,0.2,,27,,,,2024-04-23 10:00,0.004,1,0.058,1,2,2,1,1
,71,0.001,0.2,,24,,,,2024-04-23 09:00,0.005,1,0.055,1,2,2,1,1
,51,0.001,0.3,,21,,,,2024-04-23 08:00,0.013,1,0.031,1,2,2,1,1
,32,0.001,0.3,,15,,,,2024-04-23 07:00,0.013,1,0.019,1,1,1,1,1
,45,0.001,0.2,,13,,,,2024-04-23 06:00,0.006,1,0.027,1,1,1,1,1
,47,0.001,0.2,,13,,,,2024-04-23 05:00,0.007,1,0.028,1,1,1,1,1
,53,0.001,0.2,,15,,,,2024-04-23 04:00,0.004,1,0.034,1,2,2,1,1
,52,0.001,0.2,,16,,,,2024-04-23 03:00,0.005,1,0.032,1,2,2,1,1
,58,0.001,0.2,,19,,,,2024-04-23 02:00,0.004,1,0.040,1,2,2,1,1
,55,0.001,0.2,,28,,,,2024-04-23 01:00,0.005,1,0.036,1,2,2,1,1
,63,0.001,0.2,,17,,,,2024-04-22 24:00,0.005,1,0.046,1,2,2,1,1
,67,0.001,0.2,,19,,,,2024-04-22 23:00,0.005,1,0.050,1,2,2,1,1
,73,0.001,0.2,,23,,,,2024-04-22 22:00,0.003,1,0.057,1,2,2,1,1
,73,0.001,0.2,,28,,,,2024-04-22 21:00,0.004,1,0.057,1,2,2,1,1
,74,0.001,0.2,,44,,,,2024-04-22 20:00,0.004,2,0.059,1,2,2,1,1
,74,0.001,0.2,,25,,,,2024-04-22 19:00,0.005,1,0.059,1,2,2,1,1
,74,0.001,0.2,,28,,,,2024-04-22 18:00,0.005,1,0.059,1,2,2,1,1
,76,0.001,0.2,,29,,,,2024-04-22 17:00,0.005,1,0.061,1,2,2,1,1
,75,0.001,0.2,,29,,,,2024-04-22 16:00,0.004,1,0.060,1,2,2,1,1
,73,0.001,0.2,,27,,,,2024-04-22 15:00,0.005,1,0.058,1,2,2,1,1
,74,0.001,0.2,,30,,,,2024-04-22 14:00,0.004,1,0.059,1,2,2,1,1
,74,0.001,0.2,,26,,,,2024-04-22 13:00,0.004,1,0.059,1,2,2,1,1
