so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag,pm10Grade,khaiGrade
1,-,0.003,0.4,33,2,1,2024-04-23 11:00,1,0.016,0.044,,,,,,,
1,-,0.004,0.3,30,2,1,2024-04-23 10:00,1,0.017,0.038,,,,,,,
,-,-,-,-,,,2024-04-23 09:00,,-,-,통신장애,통신장애,통신장애,통신장애,통신장애,,
,-,-,-,-,,,2024-04-23 08:00,,-,-,통신장애,통신장애,통신장애,통신장애,통신장애,1,
1,63,0.003,0.3,23,2,1,2024-04-23 07:00,1,0.017,0.046,,,,,,1,2
1,64,0.004,0.3,20,2,1,2024-04-23 06:00,1,0.013,0.047,,,,,,2,2
1,63,0.004,0.3,25,2,1,2024-04-23 05:00,1,0.011,0.045,,,,,,2,2
1,64,0.004,0.3,21,2,1,2024-04-23 04:00,1,0.010,0.044,,,,,,2,2
1,69,0.004,0.3,26,2,1,2024-04-23 03:00,1,0.015,0.039,,,,,,2,2
1,72,0.004,0.4,44,2,1,2024-04-23 02:00,1,0.019,0.048,,,,,,2,2
1,75,0.004,0.4,47,2,1,2024-04-23 01:00,1,0.020,0.060,,,,,,2,2
1,78,0.004,0.5,57,2,2,2024-04-22 24:00,1,0.047,0.036,,,,,,2,2
1,80,0.004,0.4,50,2,2,2024-04-22 23:00,1,0.048,0.038,,,,,,2,2
1,68,0.003,0.4,48,2,2,2024-04-22 22:00,1,0.035,0.051,,,,,,2,2
1,86,0.003,0.4,47,2,1,2024-04-22 21:00,1,0.017,0.073,,,,,,2,2
1,84,0.003,0.4,46,2,1,2024-04-22 20:00,1,0.021,0.071,,,,,,2,2
1,81,0.003,0.4,46,2,1,2024-04-22 19:00,1,0.029,0.067,,,,,,2,2
1,82,0.003,0.3,49,2,1,2024-04-22 18:00,1,0.029,0.068,,,,,,2,2
1,84,0.004,0.3,45,2,1,2024-04-22 17:00,1,0.023,0.071,,,,,,2,2
1,84,0.003,0.3,38,2,1,2024-04-22 16:00,1,0.017,0.071,,,,,,2,2
1,81,0.004,0.3,39,2,1,2024-04-22 15:00,1,0.013,0.067,,,,,,2,2
1,76,0.004,0.3,34,2,1,2024-04-22 14:00,1,0.012,0.061,,,,,,2,2
