coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,o3Value,pm10Grade,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 12:00,-,-,,,,,,
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,-,1,,,,,
,58,0.004,0.3,,26,,,,2024-04-23 10:00,0.014,0.039,1,1,2,2,1,1
,57,0.004,0.3,,18,,,,2024-04-23 09:00,0.014,0.038,1,1,2,2,1,1
,50,0.003,0.3,,22,,,,2024-04-23 08:00,0.022,0.030,1,1,1,1,1,1
,51,0.004,0.3,,24,,,,2024-04-23 07:00,0.021,0.028,1,1,1,2,1,1
,56,0.004,0.3,,20,,,,2024-04-23 06:00,0.016,0.028,2,1,1,2,1,1
,66,0.004,0.3,,21,,,,2024-04-23 05:00,0.020,0.025,2,1,1,2,1,1
,74,0.004,0.3,,34,,,,2024-04-23 04:00,0.025,0.019,2,1,1,2,1,1
,74,0.004,0.4,,40,,,,2024-04-23 03:00,0.029,0.019,2,1,1,2,1,1
,74,0.004,0.4,,54,,,,2024-04-23 02:00,0.027,0.027,2,1,1,2,1,1
,64,0.004,0.3,,50,,,,2024-04-23 01:00,0.025,0.030,2,1,1,2,1,1
,61,0.003,0.3,,40,,,,2024-04-22 24:00,0.024,0.037,2,1,2,2,1,1
,69,0.004,0.4,,32,,,,2024-04-22 23:00,0.017,0.053,2,1,2,2,1,1
,66,0.004,0.4,,35,,,,2024-04-22 22:00,0.020,0.049,2,1,2,2,1,1
,76,0.004,0.3,,33,,,,2024-04-22 21:00,0.017,0.061,2,1,2,2,1,1
,68,0.004,0.4,,37,,,,2024-04-22 20:00,0.033,0.052,2,1,2,2,2,1
,76,0.004,0.4,,37,,,,2024-04-22 19:00,0.020,0.061,2,1,2,2,1,1
,77,0.004,0.3,,40,,,,2024-04-22 18:00,0.022,0.062,2,1,2,2,1,1
,65,0.004,0.3,,39,,,,2024-04-22 17:00,0.034,0.048,2,1,2,2,2,1
,67,0.004,0.3,,38,,,,2024-04-22 16:00,0.030,0.050,2,1,2,2,1,1
,64,0.004,0.3,,38,,,,2024-04-22 15:00,0.028,0.047,2,1,2,2,1,1
,65,0.004,0.3,,33,,,,2024-04-22 14:00,0.014,0.048,2,1,2,2,1,1
