coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,1,-,,,,,
,74,0.001,0.5,,35,,,,2024-04-23 10:00,0.006,1,0.059,1,2,2,1,1
,74,0.001,0.5,,24,,,,2024-04-23 09:00,0.007,1,0.059,1,2,2,1,1
,77,0.001,0.5,,19,,,,2024-04-23 08:00,0.007,1,0.062,1,2,2,1,1
,78,0.001,0.5,,25,,,,2024-04-23 07:00,0.006,1,0.063,1,2,2,1,1
,79,0.001,0.5,,23,,,,2024-04-23 06:00,0.004,1,0.065,1,2,2,1,1
,78,0.001,0.5,,22,,,,2024-04-23 04:00,0.003,1,0.064,1,2,2,1,1
,78,0.001,0.5,,23,,,,2024-04-23 03:00,0.004,1,0.064,1,2,2,1,1
,77,0.001,0.5,,20,,,,2024-04-23 02:00,0.004,1,0.062,1,2,2,1,1
,76,0.001,0.5,,24,,,,2024-04-23 01:00,0.004,1,0.061,1,2,2,1,1
,74,0.001,0.5,,22,,,,2024-04-22 24:00,0.004,1,0.059,1,2,2,1,1
,73,0.001,0.5,,25,,,,2024-04-22 23:00,0.005,1,0.058,1,2,2,1,1
,74,0.001,0.5,,22,,,,2024-04-22 22:00,0.005,1,0.059,1,2,2,1,1
,72,0.001,0.5,,22,,,,2024-04-22 21:00,0.005,2,0.056,1,2,2,1,1
,71,0.001,0.5,,27,,,,2024-04-22 20:00,0.005,2,0.055,1,2,2,1,1
,70,0.001,0.5,,28,,,,2024-04-22 19:00,0.005,2,0.054,1,2,2,1,1
,69,0.001,0.5,,36,,,,2024-04-22 18:00,0.005,2,0.053,1,2,2,1,1
,69,0.001,0.5,,42,,,,2024-04-22 17:00,0.005,2,0.053,1,2,2,1,1
,68,0.001,0.5,,38,,,,2024-04-22 16:00,0.005,2,0.051,1,2,2,1,1
,66,0.001,0.5,,31,,,,2024-04-22 15:00,0.006,2,0.049,1,2,2,1,1
,64,0.001,0.5,,30,,,,2024-04-22 14:00,0.006,2,0.047,1,2,2,1,1
,65,0.001,0.5,,41,,,,2024-04-22 13:00,0.006,2,0.048,1,2,2,1,1
