so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,pm10Flag,coFlag,no2Flag,o3Flag,so2Flag
1,63,0.001,0.2,39,2,2,1,2024-04-23 11:00,1,0.007,1,0.046,,,,,
1,62,0.001,0.2,29,2,2,1,2024-04-23 10:00,1,0.010,1,0.044,,,,,
1,62,0.001,0.2,30,2,2,1,2024-04-23 09:00,1,0.012,1,0.044,,,,,
1,63,0.001,0.2,27,2,2,1,2024-04-23 08:00,1,0.012,1,0.045,,,,,
1,65,0.001,0.2,25,2,2,1,2024-04-23 07:00,1,0.008,1,0.048,,,,,
1,66,0.001,0.2,25,2,2,1,2024-04-23 06:00,1,0.006,1,0.049,,,,,
1,66,0.001,0.2,25,2,2,1,2024-04-23 05:00,1,0.005,1,0.049,,,,,
1,65,0.001,0.2,23,2,2,1,2024-04-23 04:00,1,0.005,1,0.048,,,,,
1,64,0.001,0.2,20,2,2,1,2024-04-23 03:00,1,0.005,1,0.047,,,,,
1,63,0.001,0.2,31,2,2,1,2024-04-23 02:00,1,0.006,1,0.045,,,,,
1,62,0.001,0.2,28,2,2,1,2024-04-23 01:00,1,0.007,1,0.044,,,,,
1,61,0.001,0.2,27,2,2,1,2024-04-22 24:00,1,0.008,1,0.043,,,,,
1,61,0.001,0.2,30,2,2,1,2024-04-22 23:00,1,0.008,2,0.043,,,,,
1,61,0.001,0.2,28,2,2,1,2024-04-22 22:00,1,0.008,2,0.043,,,,,
1,60,0.001,0.2,25,2,2,1,2024-04-22 21:00,1,0.008,2,0.042,,,,,
1,60,0.001,0.2,29,2,2,1,2024-04-22 20:00,1,0.008,2,0.042,,,,,
1,-,0.001,0.2,39,2,,1,2024-04-22 19:00,1,0.008,,0.041,,,,,
1,-,0.002,0.2,39,2,,1,2024-04-22 18:00,1,0.008,,0.040,,,,,
1,-,0.002,0.2,-,2,,1,2024-04-22 17:00,1,0.008,,0.041,통신장애,,,,
,-,-,-,-,,,,2024-04-22 16:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,56,0.002,0.2,38,2,2,1,2024-04-22 14:00,1,0.009,2,0.035,,,,,
1,55,0.002,0.2,41,2,2,1,2024-04-22 13:00,1,0.009,2,0.036,,,,,
