so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,pm10Flag,coFlag,no2Flag,o3Flag,so2Flag
1,68,0.003,0.3,33,2,2,1,2024-04-23 11:00,1,0.010,2,0.052,,,,,
1,66,0.003,0.3,29,2,2,1,2024-04-23 10:00,1,0.011,2,0.047,,,,,
1,72,0.003,0.4,32,2,2,1,2024-04-23 09:00,1,0.013,2,0.044,,,,,
1,74,0.003,0.4,22,2,2,1,2024-04-23 08:00,1,0.018,2,0.036,,,,,
1,82,0.003,0.3,27,1,2,1,2024-04-23 07:00,1,0.023,2,0.023,,,,,
1,85,0.003,0.4,35,1,2,1,2024-04-23 06:00,1,0.015,2,0.026,,,,,
1,92,0.003,0.4,40,1,2,1,2024-04-23 05:00,1,0.012,2,0.026,,,,,
1,95,0.003,0.4,34,2,2,1,2024-04-23 04:00,1,0.009,2,0.032,,,,,
1,100,0.003,0.3,32,2,2,1,2024-04-23 03:00,1,0.008,2,0.037,,,,,
1,101,0.003,0.4,55,2,3,1,2024-04-23 02:00,1,0.009,2,0.034,,,,,
1,101,0.004,0.4,87,1,3,1,2024-04-23 01:00,1,0.013,2,0.030,,,,,
1,90,0.004,0.5,112,2,2,1,2024-04-22 24:00,1,0.013,2,0.032,,,,,
1,90,0.004,0.4,69,2,2,1,2024-04-22 23:00,1,0.013,2,0.038,,,,,
1,-,0.004,0.4,56,2,,1,2024-04-22 22:00,1,0.013,,0.057,,,,,
1,-,0.004,0.4,63,2,,1,2024-04-22 21:00,1,0.016,,0.053,,,,,
1,-,0.004,0.4,-,2,,1,2024-04-22 20:00,1,0.019,,0.064,통신장애,,,,
,-,-,-,-,,,,2024-04-22 19:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 18:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,84,0.003,0.3,40,2,2,1,2024-04-22 17:00,1,0.009,2,0.071,,,,,
1,85,0.003,0.3,47,2,2,1,2024-04-22 16:00,1,0.010,2,0.072,,,,,
1,82,0.003,0.3,44,2,2,1,2024-04-22 15:00,1,0.010,2,0.068,,,,,
1,80,0.003,0.3,40,2,2,1,2024-04-22 14:00,1,0.009,2,0.066,,,,,
1,73,0.003,0.3,45,2,2,1,2024-04-22 13:00,1,0.009,2,0.058,,,,,
