so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,pm10Flag,coFlag,no2Flag,o3Flag,so2Flag
1,60,0.004,0.2,20,2,2,1,2024-04-23 12:00,1,0.003,1,0.042,,,,,
1,60,0.004,0.2,20,2,2,1,2024-04-23 11:00,1,0.004,1,0.042,,,,,
1,60,0.004,0.2,20,2,2,1,2024-04-23 10:00,1,0.005,1,0.042,,,,,
1,61,0.004,0.2,22,2,2,1,2024-04-23 09:00,1,0.004,1,0.043,,,,,
1,64,0.004,0.2,13,2,2,1,2024-04-23 08:00,1,0.004,1,0.047,,,,,
1,68,0.004,0.2,17,2,2,1,2024-04-23 07:00,1,0.004,1,0.052,,,,,
1,70,0.004,0.2,23,2,2,1,2024-04-23 06:00,1,0.004,1,0.054,,,,,
1,68,0.004,0.2,23,2,2,1,2024-04-23 05:00,1,0.006,1,0.052,,,,,
1,68,0.004,0.2,21,2,2,1,2024-04-23 04:00,1,0.004,1,0.052,,,,,
1,68,0.004,0.2,15,2,2,1,2024-04-23 03:00,1,0.003,1,0.052,,,,,
1,68,0.004,0.2,18,2,2,1,2024-04-23 02:00,1,0.003,1,0.052,,,,,
1,68,0.004,0.2,24,2,2,1,2024-04-23 01:00,1,0.003,1,0.052,,,,,
1,68,0.004,0.2,27,2,2,1,2024-04-22 24:00,1,0.003,1,0.052,,,,,
1,67,0.004,0.2,22,2,2,1,2024-04-22 23:00,1,0.004,1,0.050,,,,,
1,64,0.004,0.3,27,2,2,1,2024-04-22 22:00,1,0.005,1,0.047,,,,,
1,58,0.004,0.3,22,2,2,1,2024-04-22 21:00,1,0.007,1,0.040,,,,,
1,59,0.005,0.2,26,2,2,1,2024-04-22 20:00,1,0.006,1,0.041,,,,,
1,-,0.004,0.2,22,2,,1,2024-04-22 19:00,1,0.006,,0.042,,,,,
1,-,0.004,0.2,18,2,,1,2024-04-22 18:00,1,0.006,,0.042,,,,,
1,-,0.004,0.2,-,2,,1,2024-04-22 17:00,1,0.005,,0.040,통신장애,,,,
,-,-,-,-,,,,2024-04-22 16:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 15:00,,-,1,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,56,0.004,0.2,16,2,2,1,2024-04-22 14:00,1,0.006,1,0.037,,,,,
