so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,pm10Flag,coFlag,no2Flag,o3Flag,so2Flag
1,78,0.002,0.4,48,2,2,1,2024-04-23 11:00,1,0.008,1,0.063,,,,,
1,77,0.003,0.4,36,2,2,1,2024-04-23 10:00,1,0.011,1,0.062,,,,,
1,67,0.002,0.5,25,2,2,1,2024-04-23 09:00,1,0.020,1,0.050,,,,,
1,71,0.001,0.4,25,2,2,1,2024-04-23 08:00,1,0.016,1,0.055,,,,,
1,80,0.001,0.4,25,2,2,1,2024-04-23 07:00,1,0.008,1,0.066,,,,,
1,81,0.001,0.4,20,2,2,1,2024-04-23 06:00,1,0.006,1,0.067,,,,,
1,81,0.001,0.4,23,2,2,1,2024-04-23 05:00,1,0.005,1,0.067,,,,,
1,79,0.001,0.4,25,2,2,1,2024-04-23 04:00,1,0.006,1,0.065,,,,,
1,79,0.001,0.4,25,2,2,1,2024-04-23 03:00,1,0.005,1,0.065,,,,,
1,78,0.001,0.4,24,2,2,1,2024-04-23 02:00,1,0.005,1,0.064,,,,,
1,78,0.001,0.4,28,2,2,1,2024-04-23 01:00,1,0.006,1,0.063,,,,,
1,77,0.001,0.4,22,2,2,1,2024-04-22 24:00,1,0.007,1,0.062,,,,,
1,76,0.002,0.4,25,2,2,1,2024-04-22 23:00,1,0.007,1,0.061,,,,,
1,75,0.001,0.4,27,2,2,1,2024-04-22 22:00,1,0.008,2,0.060,,,,,
1,74,0.002,0.4,30,2,2,1,2024-04-22 21:00,1,0.008,2,0.059,,,,,
1,-,0.001,0.4,27,2,,1,2024-04-22 20:00,1,0.009,,0.058,,,,,
1,-,0.002,0.4,31,2,,1,2024-04-22 19:00,1,0.009,,0.056,,,,,
1,-,0.002,0.4,-,2,,1,2024-04-22 18:00,1,0.010,,0.053,통신장애,,,,
,-,-,-,-,,,,2024-04-22 17:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,70,0.002,0.4,-,2,2,1,2024-04-22 16:00,1,0.010,2,0.054,통신장애,,,,
1,68,0.002,0.4,34,2,2,1,2024-04-22 15:00,1,0.011,2,0.051,,,,,
1,67,0.002,0.4,38,2,2,1,2024-04-22 14:00,1,0.011,2,0.050,,,,,
1,67,0.002,0.4,36,2,2,1,2024-04-22 13:00,1,0.013,2,0.050,,,,,
