coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,1,-,,,,,
,58,0.002,0.4,,28,,,,2024-04-23 10:00,0.011,1,0.040,1,2,2,1,1
,50,0.002,0.4,,28,,,,2024-04-23 09:00,0.013,1,0.013,1,1,1,1,1
,50,0.002,0.4,,26,,,,2024-04-23 08:00,0.011,1,0.009,1,1,1,1,1
,50,0.002,0.4,,25,,,,2024-04-23 07:00,0.009,1,0.005,1,1,1,1,1
,51,0.002,0.4,,21,,,,2024-04-23 06:00,0.007,1,0.007,1,1,2,1,1
,54,0.002,0.4,,21,,,,2024-04-23 05:00,0.004,1,0.009,1,1,2,1,1
,54,0.002,0.4,,18,,,,2024-04-23 04:00,0.004,1,0.009,1,1,2,1,1
,56,0.002,0.4,,24,,,,2024-04-23 03:00,0.005,1,0.011,1,1,2,1,1
,54,0.002,0.4,,21,,,,2024-04-23 02:00,0.010,1,0.006,1,1,2,1,1
,51,0.002,0.4,,17,,,,2024-04-23 01:00,0.011,1,0.003,1,1,2,1,1
,51,0.002,0.4,,24,,,,2024-04-22 24:00,0.011,1,0.005,1,1,2,1,1
,51,0.002,0.4,,28,,,,2024-04-22 23:00,0.012,1,0.006,1,1,2,1,1
,51,0.002,0.5,,31,,,,2024-04-22 22:00,0.014,1,0.009,1,1,2,1,1
,51,0.002,0.5,,26,,,,2024-04-22 21:00,0.009,1,0.015,1,1,2,1,1
,54,0.002,0.5,,36,,,,2024-04-22 20:00,0.015,2,0.020,1,1,2,1,1
,54,0.002,0.4,,30,,,,2024-04-22 19:00,0.011,1,0.033,1,2,2,1,1
,57,0.002,0.4,,31,,,,2024-04-22 18:00,0.009,1,0.038,1,2,2,1,1
,58,0.002,0.4,,31,,,,2024-04-22 17:00,0.008,1,0.039,1,2,2,1,1
,58,0.002,0.4,,27,,,,2024-04-22 16:00,0.010,1,0.040,1,2,2,1,1
,63,0.002,0.4,,23,,,,2024-04-22 15:00,0.006,1,0.045,1,2,2,1,1
,63,0.002,0.4,,22,,,,2024-04-22 14:00,0.007,1,0.046,1,2,2,1,1
,63,0.002,0.4,,22,,,,2024-04-22 13:00,0.006,2,0.046,1,2,2,1,1
