so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag,pm10Grade,khaiGrade
1,-,0.001,0.3,24,2,1,2024-04-23 12:00,1,0.006,0.039,,,,,,,
,-,-,-,-,,,2024-04-23 11:00,,-,-,통신장애,통신장애,통신장애,통신장애,통신장애,,
,-,-,-,-,,,2024-04-23 10:00,,-,-,통신장애,통신장애,통신장애,통신장애,통신장애,2,
1,61,0.002,0.3,30,2,1,2024-04-23 09:00,1,0.008,0.043,,,,,,2,2
1,62,0.002,0.3,32,2,1,2024-04-23 08:00,1,0.007,0.044,,,,,,2,2
1,63,0.002,0.3,35,2,1,2024-04-23 07:00,1,0.006,0.045,,,,,,2,2
1,62,0.002,0.3,39,2,1,2024-04-23 06:00,1,0.005,0.044,,,,,,2,2
1,62,0.002,0.3,40,2,1,2024-04-23 05:00,1,0.004,0.044,,,,,,2,2
1,62,0.002,0.3,32,2,1,2024-04-23 04:00,1,0.004,0.044,,,,,,2,2
1,61,0.002,0.3,35,2,1,2024-04-23 03:00,1,0.004,0.043,,,,,,2,2
1,61,0.002,0.3,33,2,1,2024-04-23 02:00,1,0.004,0.043,,,,,,2,2
1,59,0.002,0.3,35,2,1,2024-04-23 01:00,1,0.005,0.041,,,,,,2,2
1,59,0.002,0.3,32,2,1,2024-04-22 24:00,1,0.005,0.041,,,,,,1,2
1,58,0.002,0.3,31,2,1,2024-04-22 23:00,1,0.005,0.040,,,,,,1,2
1,58,0.002,0.3,33,2,1,2024-04-22 22:00,1,0.005,0.040,,,,,,1,2
1,58,0.002,0.3,29,2,1,2024-04-22 21:00,1,0.006,0.040,,,,,,1,2
1,59,0.002,0.3,30,2,1,2024-04-22 20:00,1,0.006,0.041,,,,,,1,2
1,60,0.002,0.3,33,2,1,2024-04-22 19:00,1,0.007,0.042,,,,,,1,2
1,59,0.002,0.3,25,2,1,2024-04-22 18:00,1,0.007,0.041,,,,,,1,2
1,62,0.002,0.3,24,2,1,2024-04-22 17:00,1,0.006,0.044,,,,,,1,2
1,65,0.002,0.3,29,2,1,2024-04-22 16:00,1,0.007,0.048,,,,,,1,2
1,66,0.002,0.3,28,2,1,2024-04-22 15:00,1,0.007,0.049,,,,,,1,2
1,65,0.002,0.3,27,2,1,2024-04-22 14:00,1,0.006,0.048,,,,,,1,2
