so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,khaiGrade
1,-,0.002,0.4,18,2,1,2024-04-23 11:00,1,0.005,1,0.061,
1,-,0.002,0.4,16,2,1,2024-04-23 10:00,1,0.005,1,0.059,
1,-,0.002,0.4,11,2,1,2024-04-23 09:00,1,0.007,1,0.057,
1,72,0.002,0.4,7,2,1,2024-04-23 08:00,1,0.007,1,0.056,2
1,71,0.002,0.4,15,2,1,2024-04-23 07:00,1,0.006,1,0.055,2
1,67,0.002,0.4,20,2,1,2024-04-23 06:00,1,0.007,1,0.050,2
1,64,0.002,0.4,26,2,1,2024-04-23 05:00,1,0.008,1,0.047,2
1,67,0.002,0.4,16,2,1,2024-04-23 04:00,1,0.006,1,0.050,2
1,73,0.002,0.3,17,2,1,2024-04-23 03:00,1,0.005,1,0.057,2
1,72,0.002,0.3,21,2,1,2024-04-23 02:00,1,0.005,1,0.056,2
1,68,0.002,0.3,21,2,1,2024-04-23 01:00,1,0.006,1,0.052,2
1,66,0.002,0.3,25,2,1,2024-04-22 24:00,1,0.006,1,0.049,2
1,61,0.002,0.3,31,2,1,2024-04-22 23:00,1,0.007,1,0.043,2
1,63,0.002,0.3,22,2,1,2024-04-22 22:00,1,0.008,1,0.046,2
1,64,0.002,0.3,20,2,1,2024-04-22 21:00,1,0.008,2,0.047,2
1,67,0.002,0.3,40,2,1,2024-04-22 20:00,1,0.007,2,0.050,2
1,68,0.002,0.3,43,2,1,2024-04-22 19:00,1,0.007,2,0.051,2
1,70,0.002,0.3,29,2,1,2024-04-22 18:00,1,0.006,1,0.054,2
1,69,0.002,0.3,35,2,1,2024-04-22 17:00,1,0.006,2,0.053,2
1,69,0.002,0.3,27,2,1,2024-04-22 16:00,1,0.006,1,0.053,2
1,69,0.002,0.3,36,2,1,2024-04-22 15:00,1,0.007,1,0.053,2
1,72,0.002,0.3,31,2,1,2024-04-22 14:00,1,0.006,1,0.056,2
1,70,0.002,0.3,11,2,1,2024-04-22 13:00,1,0.006,1,0.054,2
