coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade,pm10Grade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 12:00,-,-,,,,,,
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,-,,,,,,
,67,0.002,0.4,통신장애,-,,,,2024-04-23 10:00,0.011,0.050,1,2,2,1,1,1
,58,0.002,0.4,,36,,,,2024-04-23 09:00,0.016,0.039,1,2,2,1,1,1
,58,0.002,0.5,,26,,,,2024-04-23 08:00,0.035,0.016,1,1,2,2,1,1
,45,0.002,0.5,,15,,,,2024-04-23 07:00,0.019,0.027,1,1,1,1,1,1
,53,0.002,0.4,,19,,,,2024-04-23 06:00,0.014,0.033,1,2,2,1,1,1
,51,0.002,0.4,,18,,,,2024-04-23 05:00,0.013,0.031,1,2,2,1,1,1
,58,0.002,0.4,,19,,,,2024-04-23 04:00,0.010,0.039,1,2,2,1,1,1
,58,0.002,0.4,,17,,,,2024-04-23 03:00,0.010,0.040,1,2,2,1,1,1
,64,0.002,0.4,,23,,,,2024-04-23 02:00,0.009,0.047,1,2,2,1,1,1
,62,0.002,0.4,,24,,,,2024-04-23 01:00,0.011,0.044,1,2,2,1,1,1
,68,0.002,0.4,,24,,,,2024-04-22 24:00,0.008,0.051,1,2,2,1,1,1
,68,0.002,0.4,,26,,,,2024-04-22 23:00,0.008,0.051,1,2,2,1,1,1
,68,0.002,0.4,,28,,,,2024-04-22 22:00,0.008,0.051,1,2,2,1,1,2
,67,0.002,0.4,,25,,,,2024-04-22 21:00,0.009,0.050,1,2,2,1,1,2
,70,0.002,0.4,,39,,,,2024-04-22 20:00,0.008,0.054,1,2,2,1,1,2
,73,0.002,0.4,,30,,,,2024-04-22 19:00,0.009,0.057,1,2,2,1,1,1
,70,0.002,0.4,,30,,,,2024-04-22 18:00,0.010,0.054,1,2,2,1,1,2
,72,0.002,0.4,,24,,,,2024-04-22 17:00,0.008,0.056,1,2,2,1,1,2
,72,0.002,0.3,,20,,,,2024-04-22 16:00,0.007,0.056,1,2,2,1,1,2
,71,0.002,0.4,,37,,,,2024-04-22 15:00,0.007,0.055,1,2,2,1,1,2
,72,0.002,0.4,,31,,,,2024-04-22 14:00,0.007,0.056,1,2,2,1,1,2
