coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,1,-,,,,,
,63,0.004,0.2,,31,,,,2024-04-23 10:00,0.008,1,0.046,1,2,2,1,1
,59,0.003,0.2,,37,,,,2024-04-23 09:00,0.009,1,0.041,1,2,2,1,1
,58,0.003,0.2,,27,,,,2024-04-23 08:00,0.008,1,0.039,1,2,2,1,1
,58,0.004,0.2,,27,,,,2024-04-23 07:00,0.006,1,0.040,1,2,2,1,1
,59,0.004,0.2,,29,,,,2024-04-23 06:00,0.005,1,0.041,1,2,2,1,1
,60,0.004,0.2,,25,,,,2024-04-23 05:00,0.003,1,0.042,1,2,2,1,1
,62,0.004,0.2,,26,,,,2024-04-23 04:00,0.003,1,0.044,1,2,2,1,1
,62,0.004,0.2,,31,,,,2024-04-23 03:00,0.004,2,0.044,1,2,2,1,1
,62,0.004,0.2,,28,,,,2024-04-23 02:00,0.004,2,0.044,1,2,2,1,1
,62,0.004,0.2,,21,,,,2024-04-23 01:00,0.004,2,0.044,1,2,2,1,1
,63,0.004,0.2,,34,,,,2024-04-22 24:00,0.005,2,0.045,1,2,2,1,1
,63,0.004,0.2,,29,,,,2024-04-22 23:00,0.005,2,0.045,1,2,2,1,1
,62,0.004,0.2,,30,,,,2024-04-22 22:00,0.006,2,0.044,1,2,2,1,1
,62,0.004,0.2,,45,,,,2024-04-22 21:00,0.007,2,0.044,1,2,2,1,1
,61,0.004,0.2,,39,,,,2024-04-22 20:00,0.008,2,0.043,1,2,2,1,1
,63,0.004,0.2,,37,,,,2024-04-22 19:00,0.008,2,0.046,1,2,2,1,1
,65,0.004,0.2,,35,,,,2024-04-22 18:00,0.007,2,0.048,1,2,2,1,1
,65,0.004,0.2,,34,,,,2024-04-22 17:00,0.007,2,0.048,1,2,2,1,1
,66,0.004,0.2,,31,,,,2024-04-22 16:00,0.006,2,0.049,1,2,2,1,1
,67,0.004,0.2,,37,,,,2024-04-22 15:00,0.006,2,0.050,1,2,2,1,1
,64,0.004,0.2,,41,,,,2024-04-22 14:00,0.007,2,0.047,1,2,2,1,1
