so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,pm10Flag,coFlag,no2Flag,o3Flag,so2Flag
1,77,0.003,0.3,37,2,2,1,2024-04-23 11:00,1,0.003,2,0.062,,,,,
1,72,0.003,0.3,38,2,2,1,2024-04-23 10:00,1,0.004,2,0.056,,,,,
1,67,0.003,0.3,32,2,2,1,2024-04-23 09:00,1,0.006,2,0.050,,,,,
1,58,0.003,0.3,28,2,2,1,2024-04-23 08:00,1,0.011,2,0.039,,,,,
1,59,0.003,0.4,31,1,2,1,2024-04-23 07:00,1,0.012,2,0.029,,,,,
1,59,0.003,0.3,35,1,2,1,2024-04-23 06:00,1,0.010,2,0.028,,,,,
1,59,0.003,0.3,26,1,2,1,2024-04-23 05:00,1,0.007,2,0.023,,,,,
1,59,0.003,0.3,30,1,2,1,2024-04-23 04:00,1,0.008,2,0.023,,,,,
1,-,0.003,0.3,31,1,,1,2024-04-23 03:00,1,0.006,,0.030,,,,,
1,-,0.003,0.3,31,2,,1,2024-04-23 02:00,1,0.005,,0.036,,,,,
1,-,0.003,0.3,37,1,,1,2024-04-23 01:00,1,0.005,,0.030,,,,,
1,-,0.003,0.3,39,2,,1,2024-04-22 24:00,1,0.007,,0.032,,,,,
1,-,0.003,0.4,36,2,,1,2024-04-22 23:00,1,0.007,,0.035,,,,,
1,-,0.003,0.4,41,2,,1,2024-04-22 22:00,1,0.006,,0.037,,,,,
1,-,0.003,0.4,37,2,,1,2024-04-22 21:00,1,0.007,,0.035,,,,,
1,-,0.003,0.4,45,2,,1,2024-04-22 20:00,1,0.007,,0.039,,,,,
1,-,0.003,0.4,-,2,,1,2024-04-22 19:00,1,0.008,,0.040,통신장애,,,,
,-,-,-,-,,,,2024-04-22 18:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 17:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 16:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,78,0.004,0.3,36,2,2,1,2024-04-22 15:00,1,0.003,2,0.063,,,,,
1,76,0.004,0.3,44,2,2,1,2024-04-22 14:00,1,0.003,2,0.061,,,,,
