so2Grade,khaiValue,so2Value,coValue,pm10Flag,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,o3Value,coFlag,no2Flag,o3Flag,so2Flag,pm10Grade,khaiGrade
1,-,0.001,0.3,통신장애,-,2,1,2024-04-23 12:00,1,0.008,0.047,,,,,,
,-,-,-,통신장애,-,,,2024-04-23 11:00,,-,-,통신장애,통신장애,통신장애,통신장애,2,
1,65,0.001,0.3,,38,2,1,2024-04-23 10:00,1,0.010,0.048,,,,,1,2
1,64,0.001,0.3,,33,2,1,2024-04-23 09:00,1,0.013,0.047,,,,,1,2
1,67,0.001,0.3,,30,2,1,2024-04-23 08:00,1,0.011,0.050,,,,,1,2
1,68,0.001,0.3,,24,2,1,2024-04-23 07:00,1,0.008,0.052,,,,,1,2
1,69,0.001,0.3,,25,2,1,2024-04-23 06:00,1,0.006,0.053,,,,,1,2
1,69,0.001,0.3,,29,2,1,2024-04-23 05:00,1,0.004,0.053,,,,,1,2
1,69,0.001,0.3,,22,2,1,2024-04-23 04:00,1,0.004,0.053,,,,,1,2
1,68,0.001,0.3,,19,2,1,2024-04-23 03:00,1,0.004,0.052,,,,,1,2
1,67,0.001,0.3,,29,2,1,2024-04-23 02:00,1,0.005,0.050,,,,,1,2
1,66,0.001,0.3,,23,2,1,2024-04-23 01:00,1,0.006,0.049,,,,,1,2
1,65,0.001,0.3,,29,2,1,2024-04-22 24:00,1,0.006,0.048,,,,,1,2
1,65,0.001,0.3,,27,2,1,2024-04-22 23:00,1,0.006,0.048,,,,,1,2
1,65,0.001,0.3,,23,2,1,2024-04-22 22:00,1,0.006,0.048,,,,,2,2
1,63,0.001,0.3,,33,2,1,2024-04-22 21:00,1,0.007,0.046,,,,,2,2
1,63,0.001,0.3,,25,2,1,2024-04-22 20:00,1,0.007,0.046,,,,,2,2
1,63,0.001,0.3,,41,2,1,2024-04-22 19:00,1,0.008,0.045,,,,,2,2
1,61,0.001,0.3,,35,2,1,2024-04-22 18:00,1,0.008,0.043,,,,,2,2
1,61,0.001,0.3,,34,2,1,2024-04-22 17:00,1,0.008,0.043,,,,,2,2
1,59,0.001,0.3,,36,2,1,2024-04-22 16:00,1,0.009,0.041,,,,,2,2
1,57,0.001,0.3,,34,2,1,2024-04-22 15:00,1,0.011,0.037,,,,,2,2
1,59,0.001,0.3,,40,2,1,2024-04-22 14:00,1,0.011,0.036,,,,,2,2
