so2Grade,khaiValue,so2Value,coValue,pm10Flag,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,o3Value,pm10Grade
1,-,0.002,0.3,통신장애,-,2,1,2024-04-23 10:00,1,0.009,0.048,
1,-,0.002,0.3,통신장애,-,2,1,2024-04-23 09:00,1,0.010,0.045,1
1,-,0.002,0.3,,23,2,1,2024-04-23 08:00,1,0.009,0.045,1
1,-,0.002,0.3,,18,2,1,2024-04-23 07:00,1,0.009,0.045,1
1,-,0.002,0.3,,20,2,1,2024-04-23 06:00,1,0.010,0.039,1
1,-,0.002,0.3,,17,2,1,2024-04-23 05:00,1,0.008,0.040,1
1,-,0.002,0.3,,22,2,1,2024-04-23 04:00,1,0.007,0.041,2
1,-,0.002,0.3,,20,2,1,2024-04-23 03:00,1,0.007,0.041,2
1,-,0.002,0.3,,27,2,1,2024-04-23 02:00,1,0.008,0.038,2
1,-,0.002,0.3,,38,2,1,2024-04-23 01:00,1,0.010,0.038,2
1,-,0.003,0.4,,49,2,1,2024-04-22 24:00,1,0.015,0.044,2
1,-,0.003,0.4,,46,2,1,2024-04-22 23:00,1,0.021,0.038,2
1,-,0.002,0.4,,43,1,1,2024-04-22 22:00,1,0.026,0.029,2
1,-,0.002,0.4,,38,2,1,2024-04-22 21:00,1,0.016,0.046,2
1,-,0.002,0.3,,25,2,1,2024-04-22 20:00,1,0.012,0.052,2
1,-,0.002,0.3,,30,2,1,2024-04-22 19:00,1,0.009,0.058,2
1,-,0.002,0.3,,34,2,1,2024-04-22 18:00,1,0.007,0.061,2
1,-,0.002,0.3,,42,2,1,2024-04-22 17:00,1,0.007,0.062,2
1,-,0.002,0.2,,32,2,1,2024-04-22 16:00,1,0.006,0.063,2
1,-,0.002,0.3,,40,2,1,2024-04-22 15:00,1,0.006,0.062,2
1,-,0.002,0.3,,28,2,1,2024-04-22 14:00,1,0.007,0.062,2
1,-,0.002,0.3,,36,2,1,2024-04-22 13:00,1,0.007,0.058,2
1,-,0.002,0.3,,29,2,1,2024-04-22 12:00,1,0.008,0.051,2
