coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,1,-,,,,,
,54,0.002,0.4,,30,,,,2024-04-23 10:00,0.020,1,0.035,1,2,2,1,1
,52,0.002,0.5,,29,,,,2024-04-23 09:00,0.025,1,0.032,1,2,2,1,1
,54,0.002,0.5,,25,,,,2024-04-23 08:00,0.029,1,0.035,1,2,2,1,1
,59,0.002,0.5,,23,,,,2024-04-23 07:00,0.024,1,0.041,1,2,2,1,1
,67,0.002,0.4,,20,,,,2024-04-23 06:00,0.013,1,0.050,1,2,2,1,1
,69,0.002,0.4,,21,,,,2024-04-23 05:00,0.008,1,0.053,1,2,2,1,1
,71,0.002,0.4,,20,,,,2024-04-23 04:00,0.006,1,0.055,1,2,2,1,1
,72,0.002,0.4,,24,,,,2024-04-23 03:00,0.006,1,0.056,1,2,2,1,1
,72,0.002,0.4,,24,,,,2024-04-23 02:00,0.007,1,0.056,1,2,2,1,1
,68,0.002,0.4,,29,,,,2024-04-23 01:00,0.009,1,0.052,1,2,2,1,1
,66,0.002,0.4,,31,,,,2024-04-22 24:00,0.011,2,0.049,1,2,2,1,1
,55,0.002,0.5,,28,,,,2024-04-22 23:00,0.019,2,0.036,1,2,2,1,1
,58,0.002,0.4,,30,,,,2024-04-22 22:00,0.019,2,0.039,1,2,2,1,1
,58,0.002,0.5,,29,,,,2024-04-22 21:00,0.020,2,0.040,1,2,2,1,1
,57,0.002,0.5,,37,,,,2024-04-22 20:00,0.021,2,0.038,1,2,2,1,1
,55,0.002,0.5,,37,,,,2024-04-22 19:00,0.020,2,0.036,1,2,2,1,1
,53,0.002,0.5,,32,,,,2024-04-22 18:00,0.022,1,0.033,1,2,2,1,1
,53,0.002,0.5,,35,,,,2024-04-22 17:00,0.020,1,0.033,1,2,2,1,1
,51,0.002,0.5,,30,,,,2024-04-22 16:00,0.021,1,0.031,1,2,2,1,1
,53,0.002,0.5,,29,,,,2024-04-22 15:00,0.017,1,0.034,1,2,2,1,1
,52,0.002,0.4,,30,,,,2024-04-22 14:00,0.019,1,0.032,1,2,2,1,1
