so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,khaiGrade
1,-,0.002,0.7,38,2,1,2024-04-23 11:00,1,0.030,2,0.042,
1,-,0.002,0.7,40,2,2,2024-04-23 10:00,1,0.034,2,0.038,
1,-,0.002,0.7,48,2,2,2024-04-23 09:00,1,0.038,2,0.035,
1,-,0.002,0.7,41,1,2,2024-04-23 08:00,1,0.056,2,0.030,
1,-,0.002,0.7,32,2,2,2024-04-23 07:00,1,0.039,2,0.034,
1,-,0.002,0.6,26,2,2,2024-04-23 06:00,1,0.039,2,0.033,
1,-,0.002,0.6,27,2,1,2024-04-23 05:00,1,0.019,2,0.038,
1,-,0.002,0.7,27,2,1,2024-04-23 04:00,1,0.017,2,0.036,
1,-,0.002,0.7,45,2,1,2024-04-23 03:00,1,0.021,2,0.034,
1,-,0.002,0.7,64,2,1,2024-04-23 02:00,1,0.030,2,0.039,
1,-,0.002,0.7,56,2,2,2024-04-23 01:00,1,0.035,2,0.041,
1,-,0.002,0.7,56,2,2,2024-04-22 24:00,1,0.035,2,0.046,
1,-,0.002,0.8,61,2,2,2024-04-22 23:00,1,0.050,2,0.044,
1,-,0.002,0.8,65,2,2,2024-04-22 22:00,1,0.052,2,0.041,
1,-,0.002,0.8,48,2,1,2024-04-22 21:00,1,0.029,2,0.061,
1,-,0.002,0.8,50,2,3,2024-04-22 20:00,1,0.068,2,0.037,
1,-,0.002,0.7,55,2,1,2024-04-22 19:00,1,0.028,2,0.070,
1,-,0.002,0.7,61,2,2,2024-04-22 18:00,1,0.037,2,0.066,
1,82,0.002,0.7,60,2,2,2024-04-22 17:00,1,0.032,2,0.067,2
1,81,0.002,0.7,95,2,1,2024-04-22 16:00,1,0.028,2,0.067,2
1,78,0.002,0.7,66,2,1,2024-04-22 15:00,1,0.022,2,0.063,2
1,72,0.002,0.7,56,2,1,2024-04-22 14:00,1,0.020,2,0.056,2
