so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,khaiGrade,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,-,0.002,0.2,22,2,1,2024-04-23 11:00,1,0.007,1,0.060,,,,,,
1,-,0.002,0.2,23,2,1,2024-04-23 10:00,1,0.008,1,0.051,,,,,,
1,-,0.002,0.2,15,1,1,2024-04-23 09:00,1,0.011,1,0.021,,,,,,
1,-,0.002,0.2,11,1,1,2024-04-23 08:00,1,0.010,1,0.014,,,,,,
1,-,0.002,0.2,13,1,1,2024-04-23 07:00,1,0.013,1,0.010,,,,,,
1,-,0.002,0.2,14,1,1,2024-04-23 06:00,1,0.014,1,0.010,,,,,,
1,-,0.002,0.2,12,1,1,2024-04-23 05:00,1,0.010,1,0.010,,,,,,
1,54,0.002,0.2,8,1,1,2024-04-23 04:00,1,0.011,1,0.009,2,,,,,
1,54,0.002,0.2,15,1,1,2024-04-23 03:00,1,0.014,1,0.007,2,,,,,
1,-,0.002,0.2,23,1,1,2024-04-23 02:00,1,0.015,1,0.003,,,,,,
1,-,0.002,0.2,17,1,1,2024-04-23 01:00,1,0.017,1,0.002,,,,,,
1,-,0.002,0.2,18,1,1,2024-04-22 24:00,1,0.017,1,0.003,,,,,,
1,-,0.002,0.2,25,1,1,2024-04-22 23:00,1,0.019,2,0.003,,,,,,
1,-,0.002,0.2,27,1,1,2024-04-22 22:00,1,0.016,2,0.009,,,,,,
1,-,0.002,0.3,36,1,1,2024-04-22 21:00,1,0.017,2,0.014,,,,,,
1,-,0.002,0.3,58,1,1,2024-04-22 20:00,1,0.013,2,0.024,,,,,,
1,-,0.002,0.2,24,2,1,2024-04-22 19:00,1,0.011,,0.037,,,,,,
1,-,0.002,0.2,32,2,1,2024-04-22 18:00,1,0.009,,0.037,,,,,,
,-,-,-,-,,,2024-04-22 17:00,,-,,-,,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,2024-04-22 16:00,,-,,-,,통신장애,통신장애,통신장애,통신장애,통신장애
1,65,0.002,0.2,-,2,1,2024-04-22 15:00,1,0.008,1,0.048,2,,통신장애,,,
1,64,0.002,0.2,27,2,1,2024-04-22 14:00,1,0.007,1,0.047,2,,,,,
1,64,0.002,0.2,26,2,1,2024-04-22 13:00,1,0.009,1,0.047,2,,,,,
