so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag
1,75,0.003,0.2,27,2,2,1,2024-04-23 11:00,1,0.003,1,0.060,
1,73,0.003,0.2,27,2,2,1,2024-04-23 10:00,1,0.003,1,0.058,
1,76,0.003,-,25,2,2,1,2024-04-23 09:00,,0.003,1,0.061,통신장애
1,79,0.003,-,23,2,2,1,2024-04-23 08:00,,0.004,1,0.065,통신장애
1,82,0.002,-,26,2,2,1,2024-04-23 07:00,,0.003,1,0.068,통신장애
1,83,0.002,-,23,2,2,1,2024-04-23 06:00,,0.003,1,0.069,통신장애
1,84,0.002,-,23,2,2,1,2024-04-23 05:00,,0.003,1,0.071,통신장애
1,85,0.002,-,27,2,2,1,2024-04-23 04:00,,0.002,1,0.072,통신장애
1,85,0.002,-,26,2,2,1,2024-04-23 03:00,,0.002,1,0.072,통신장애
1,85,0.002,-,31,2,2,1,2024-04-23 02:00,,0.002,1,0.072,통신장애
1,82,0.002,0.2,27,2,2,1,2024-04-23 01:00,1,0.002,1,0.068,
1,78,0.002,0.2,25,2,2,1,2024-04-22 24:00,1,0.003,1,0.063,
1,78,0.002,0.2,27,2,2,1,2024-04-22 23:00,1,0.003,1,0.063,
1,78,0.002,0.2,25,2,2,1,2024-04-22 22:00,1,0.003,1,0.064,
1,76,0.002,0.2,26,2,2,1,2024-04-22 21:00,1,0.004,1,0.061,
1,73,0.002,0.2,31,2,2,1,2024-04-22 20:00,1,0.004,1,0.058,
1,72,0.002,0.2,26,2,2,1,2024-04-22 19:00,1,0.004,1,0.056,
1,71,0.003,0.2,30,2,2,1,2024-04-22 18:00,1,0.003,1,0.055,
1,70,0.002,0.2,31,2,2,1,2024-04-22 17:00,1,0.004,1,0.054,
1,71,0.002,0.2,26,2,2,1,2024-04-22 16:00,1,0.003,1,0.055,
1,69,0.002,0.2,28,2,2,1,2024-04-22 15:00,1,0.003,1,0.053,
1,66,0.002,0.2,25,2,2,1,2024-04-22 14:00,1,0.003,1,0.049,
