so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag,pm10Grade,khaiGrade
1,-,0.003,0.4,31,2,2,2024-04-23 11:00,1,0.032,0.039,,,,,,,
,-,-,-,-,,,2024-04-23 10:00,,-,-,통신장애,통신장애,통신장애,통신장애,통신장애,,
,-,-,-,-,,,2024-04-23 09:00,,-,-,통신장애,통신장애,통신장애,통신장애,통신장애,1,
1,78,0.003,0.5,27,1,2,2024-04-23 08:00,1,0.047,0.022,,,,,,1,2
1,90,0.002,0.4,28,1,2,2024-04-23 07:00,1,0.054,0.016,,,,,,1,2
1,70,0.002,0.4,22,1,2,2024-04-23 06:00,1,0.042,0.026,,,,,,1,2
1,62,0.002,0.3,20,2,1,2024-04-23 05:00,1,0.025,0.044,,,,,,1,2
1,67,0.002,0.3,20,2,1,2024-04-23 04:00,1,0.016,0.050,,,,,,1,2
1,64,0.002,0.3,22,2,1,2024-04-23 03:00,1,0.017,0.047,,,,,,1,2
1,68,0.002,0.3,21,2,1,2024-04-23 02:00,1,0.012,0.051,,,,,,1,2
1,64,0.002,0.4,22,2,1,2024-04-23 01:00,1,0.016,0.047,,,,,,1,2
1,64,0.002,0.3,25,2,1,2024-04-22 24:00,1,0.017,0.047,,,,,,2,2
1,63,0.002,0.4,30,2,1,2024-04-22 23:00,1,0.018,0.046,,,,,,2,2
1,60,0.002,0.4,32,2,1,2024-04-22 22:00,1,0.023,0.042,,,,,,2,2
1,58,0.002,0.4,36,2,1,2024-04-22 21:00,1,0.029,0.039,,,,,,2,2
1,59,0.002,0.4,34,2,1,2024-04-22 20:00,1,0.030,0.038,,,,,,2,2
1,71,0.003,0.5,40,1,2,2024-04-22 19:00,1,0.043,0.029,,,,,,2,2
1,59,0.002,0.4,31,2,2,2024-04-22 18:00,1,0.032,0.040,,,,,,2,2
1,61,0.003,0.4,38,2,1,2024-04-22 17:00,1,0.030,0.043,,,,,,2,2
1,62,0.002,0.4,33,2,2,2024-04-22 16:00,1,0.035,0.044,,,,,,2,2
1,66,0.002,0.4,43,2,2,2024-04-22 15:00,1,0.035,0.049,,,,,,2,2
1,64,0.003,0.4,38,2,1,2024-04-22 14:00,1,0.025,0.043,,,,,,2,2
1,61,0.003,0.4,37,2,2,2024-04-22 13:00,1,0.031,0.039,,,,,,2,2
