so2Grade,khaiValue,so2Value,coValue,pm10Value,khaiGrade,no2Grade,o3Flag,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,45,0.002,0.3,26,1,1,통신장애,2024-04-23 11:00,1,0.009,1,-
1,47,0.003,0.3,28,1,1,통신장애,2024-04-23 10:00,1,0.013,1,-
1,47,0.003,0.3,25,1,1,통신장애,2024-04-23 09:00,1,0.018,1,-
1,50,0.002,0.3,25,1,1,통신장애,2024-04-23 08:00,1,0.023,1,-
1,50,0.002,0.3,22,1,1,통신장애,2024-04-23 07:00,1,0.028,1,-
1,54,0.002,0.3,18,2,1,통신장애,2024-04-23 06:00,1,0.020,1,-
1,56,0.002,0.2,21,2,1,통신장애,2024-04-23 05:00,1,0.011,2,-
1,61,0.002,0.3,25,2,1,통신장애,2024-04-23 04:00,1,0.011,2,-
1,64,0.003,0.3,28,2,1,통신장애,2024-04-23 03:00,1,0.014,2,-
1,66,0.002,0.3,38,2,1,통신장애,2024-04-23 02:00,1,0.021,2,-
1,69,0.003,0.4,46,2,1,통신장애,2024-04-23 01:00,1,0.026,2,-
1,66,0.002,0.4,44,2,1,통신장애,2024-04-22 24:00,1,0.025,2,-
1,62,0.002,0.4,44,2,1,통신장애,2024-04-22 23:00,1,0.020,2,-
1,60,0.003,0.3,45,2,1,통신장애,2024-04-22 22:00,1,0.024,2,-
1,58,0.003,0.4,47,2,1,통신장애,2024-04-22 21:00,1,0.030,2,-
1,56,0.003,0.4,48,2,2,통신장애,2024-04-22 20:00,1,0.033,2,-
1,58,0.003,0.4,34,2,2,통신장애,2024-04-22 19:00,1,0.035,2,-
1,53,0.002,0.3,30,2,1,통신장애,2024-04-22 18:00,1,0.014,2,-
1,54,0.002,0.3,33,2,1,통신장애,2024-04-22 17:00,1,0.013,2,-
1,54,0.002,0.3,29,2,1,통신장애,2024-04-22 16:00,1,0.010,2,-
1,55,0.003,0.3,36,2,1,통신장애,2024-04-22 15:00,1,0.009,2,-
1,55,0.002,0.3,33,2,1,통신장애,2024-04-22 14:00,1,0.010,2,-
