so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,pm10Flag
1,66,0.001,0.2,31,2,2,1,2024-04-23 11:00,1,0.005,2,0.049,
1,68,0.001,0.2,35,2,2,1,2024-04-23 10:00,1,0.005,2,0.051,
1,68,0.001,0.2,31,2,2,1,2024-04-23 09:00,1,0.005,2,0.052,
1,69,0.001,0.2,34,2,2,1,2024-04-23 08:00,1,0.004,2,0.053,
1,69,0.001,0.2,36,2,2,1,2024-04-23 07:00,1,0.005,2,0.053,
1,69,0.001,0.2,31,2,2,1,2024-04-23 06:00,1,0.004,2,0.053,
1,68,0.001,0.2,41,2,2,1,2024-04-23 05:00,1,0.004,2,0.052,
1,68,0.001,0.2,37,2,2,1,2024-04-23 04:00,1,0.004,2,0.052,
1,67,0.001,0.2,35,2,2,1,2024-04-23 03:00,1,0.004,2,0.050,
1,68,0.001,0.2,30,2,2,1,2024-04-23 02:00,1,0.004,2,0.052,
1,-,0.001,0.2,33,2,,1,2024-04-23 01:00,1,0.004,,0.053,
1,-,0.001,0.2,26,2,,1,2024-04-22 24:00,1,0.004,,0.052,
1,-,0.001,0.2,34,2,,1,2024-04-22 23:00,1,0.005,,0.050,
1,-,0.001,0.2,38,2,,1,2024-04-22 22:00,1,0.005,,0.049,
1,-,0.001,0.2,30,2,,1,2024-04-22 21:00,1,0.005,,0.049,
1,-,0.001,0.2,29,2,,1,2024-04-22 20:00,1,0.005,,0.048,
1,-,0.001,0.2,27,2,,1,2024-04-22 19:00,1,0.005,,0.049,
1,-,0.001,0.2,29,2,,1,2024-04-22 18:00,1,0.005,,0.048,
1,-,0.001,0.2,-,2,,1,2024-04-22 17:00,1,0.005,,0.050,통신장애
1,-,0.001,0.2,-,2,,1,2024-04-22 16:00,1,0.005,,0.052,통신장애
1,-,0.001,0.2,-,2,,1,2024-04-22 15:00,1,0.005,,0.056,통신장애
1,-,0.002,0.2,-,2,,1,2024-04-22 14:00,1,0.005,,0.058,통신장애
1,-,0.001,0.2,-,2,,1,2024-04-22 13:00,1,0.006,,0.055,통신장애
