so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Flag,dataTime,coGrade,no2Value,pm10Grade,o3Value,khaiGrade,no2Grade
1,-,0.001,0.3,29,2,통신장애,2024-04-23 11:00,1,-,2,0.046,,
1,-,0.001,0.3,33,2,통신장애,2024-04-23 10:00,1,-,2,0.046,,
1,-,0.001,0.3,30,2,통신장애,2024-04-23 09:00,1,-,2,0.045,,
1,63,0.001,0.3,32,2,,2024-04-23 08:00,1,0.005,2,0.045,2,1
1,61,0.001,0.3,32,2,,2024-04-23 07:00,1,0.005,2,0.043,2,1
1,59,0.001,0.3,34,2,,2024-04-23 06:00,1,0.006,2,0.041,2,1
1,60,0.001,0.3,36,2,,2024-04-23 05:00,1,0.004,2,0.042,2,1
1,61,0.001,0.2,27,2,,2024-04-23 04:00,1,0.004,2,0.043,2,1
1,62,0.001,0.3,32,2,,2024-04-23 03:00,1,0.004,2,0.044,2,1
1,62,0.001,0.3,33,2,,2024-04-23 02:00,1,0.005,2,0.044,2,1
1,62,0.001,0.3,35,2,,2024-04-23 01:00,1,0.004,2,0.044,2,1
1,63,0.001,0.3,34,2,,2024-04-22 24:00,1,0.004,2,0.045,2,1
1,62,0.001,0.3,36,2,,2024-04-22 23:00,1,0.004,2,0.044,2,1
1,61,0.001,0.3,31,2,,2024-04-22 22:00,1,0.005,2,0.043,2,1
1,61,0.001,0.2,31,2,,2024-04-22 21:00,1,0.004,1,0.043,2,1
1,61,0.001,0.2,32,2,,2024-04-22 20:00,1,0.005,1,0.043,2,1
1,60,0.001,0.3,34,2,,2024-04-22 19:00,1,0.005,1,0.042,2,1
1,61,0.001,0.3,31,2,,2024-04-22 18:00,1,0.004,1,0.043,2,1
1,62,0.001,0.3,29,2,,2024-04-22 17:00,1,0.005,1,0.044,2,1
1,64,0.001,0.3,30,2,,2024-04-22 16:00,1,0.005,1,0.047,2,1
1,66,0.001,0.3,30,2,,2024-04-22 15:00,1,0.005,1,0.049,2,1
1,64,0.001,0.3,26,2,,2024-04-22 14:00,1,0.005,1,0.047,2,1
1,63,0.001,0.3,24,2,,2024-04-22 13:00,1,0.005,1,0.046,2,1
