coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade,pm10Grade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 12:00,-,-,,,,,,
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,-,,,,,,
,63,0.003,0.2,통신장애,-,,,,2024-04-23 10:00,0.013,0.046,1,2,2,1,1,1
,66,0.003,0.2,,36,,,,2024-04-23 09:00,0.012,0.049,1,2,2,1,1,1
,67,0.003,0.2,,27,,,,2024-04-23 08:00,0.012,0.050,1,2,2,1,1,1
,67,0.003,0.3,,28,,,,2024-04-23 07:00,0.011,0.050,1,2,2,1,1,1
,68,0.003,0.3,,22,,,,2024-04-23 06:00,0.010,0.052,1,2,2,1,1,1
,68,0.003,0.3,,24,,,,2024-04-23 05:00,0.010,0.051,1,2,2,1,1,1
,68,0.002,0.2,,24,,,,2024-04-23 04:00,0.010,0.051,1,2,2,1,1,1
,70,0.002,0.2,,27,,,,2024-04-23 03:00,0.008,0.054,1,2,2,1,1,1
,64,0.003,0.2,,29,,,,2024-04-23 02:00,0.011,0.047,1,2,2,1,1,1
,60,0.003,0.2,,30,,,,2024-04-23 01:00,0.013,0.042,1,2,2,1,1,1
,62,0.003,0.2,,27,,,,2024-04-22 24:00,0.011,0.044,1,2,2,1,1,2
,61,0.003,0.2,,32,,,,2024-04-22 23:00,0.012,0.043,1,2,2,1,1,2
,58,0.003,0.2,,30,,,,2024-04-22 22:00,0.013,0.039,1,2,2,1,1,2
,53,0.003,0.2,,33,,,,2024-04-22 21:00,0.015,0.034,1,2,2,1,1,2
,53,0.003,0.2,,31,,,,2024-04-22 20:00,0.015,0.033,1,2,2,1,1,2
,54,0.003,0.2,,33,,,,2024-04-22 19:00,0.014,0.035,1,2,2,1,1,1
,52,0.003,0.2,,37,,,,2024-04-22 18:00,0.018,0.032,1,2,2,1,1,1
,51,0.003,0.2,,36,,,,2024-04-22 17:00,0.019,0.031,1,2,2,1,1,1
,52,0.003,0.2,,27,,,,2024-04-22 16:00,0.015,0.032,1,2,2,1,1,1
,53,0.002,0.2,,30,,,,2024-04-22 15:00,0.013,0.034,1,2,2,1,1,1
,51,0.002,0.2,,28,,,,2024-04-22 14:00,0.015,0.031,1,2,2,1,1,1
