so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag
1,35,0.002,0.2,23,1,1,1,2024-04-23 11:00,1,0.005,1,0.002,,,,
1,33,0.002,0.2,20,1,1,1,2024-04-23 10:00,1,0.005,1,0.002,,,,
1,33,0.002,0.2,21,1,1,1,2024-04-23 09:00,1,0.007,1,0.002,,,,
1,35,0.002,0.2,17,1,1,1,2024-04-23 08:00,1,0.009,1,0.002,,,,
1,37,0.002,0.3,17,1,1,1,2024-04-23 07:00,1,0.013,1,0.002,,,,
1,37,0.002,0.2,21,1,1,1,2024-04-23 06:00,1,0.009,1,0.002,,,,
1,38,0.002,0.2,24,1,1,1,2024-04-23 05:00,1,0.007,1,0.002,,,,
1,37,0.002,0.3,23,1,1,1,2024-04-23 04:00,1,0.007,1,0.002,,,,
1,37,0.002,0.2,20,1,1,1,2024-04-23 03:00,1,0.008,1,0.002,,,,
1,37,0.002,0.2,26,1,1,1,2024-04-23 02:00,1,0.006,1,0.002,,,,
1,37,0.002,0.2,21,1,1,1,2024-04-23 01:00,1,0.008,1,0.002,,,,
1,38,0.002,0.2,20,1,1,1,2024-04-22 24:00,1,0.007,1,0.002,,,,
1,38,0.002,0.2,23,1,1,1,2024-04-22 23:00,1,0.007,1,0.002,,,,
1,38,0.002,0.3,23,1,1,1,2024-04-22 22:00,1,0.011,1,0.002,,,,
1,38,0.002,0.3,26,1,1,1,2024-04-22 21:00,1,0.014,1,0.002,,,,
1,37,0.002,0.3,21,1,1,1,2024-04-22 20:00,1,0.015,1,0.002,,,,
1,37,0.002,0.3,21,1,1,1,2024-04-22 19:00,1,0.012,1,0.002,,,,
1,37,0.002,0.3,19,1,1,1,2024-04-22 18:00,1,0.009,1,0.002,,,,
1,37,0.002,0.3,24,1,1,1,2024-04-22 17:00,1,0.013,1,0.002,,,,
1,37,0.002,0.3,22,1,1,1,2024-04-22 16:00,1,0.018,1,0.002,,,,
,-,-,-,22,,,,2024-04-22 15:00,,-,1,-,통신장애,통신장애,통신장애,통신장애
,-,-,-,26,,,,2024-04-22 14:00,,-,1,-,통신장애,통신장애,통신장애,통신장애
,-,-,-,26,,,,2024-04-22 13:00,,-,1,-,통신장애,통신장애,통신장애,통신장애
