coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,2,-,,,,,
,74,0.002,0.2,,32,,,,2024-04-23 10:00,0.021,2,0.047,1,2,2,1,1
,77,0.002,0.2,,36,,,,2024-04-23 09:00,0.021,2,0.045,1,2,2,1,1
,82,0.002,0.2,,33,,,,2024-04-23 08:00,0.021,2,0.042,1,2,2,1,1
,87,0.002,0.2,,27,,,,2024-04-23 07:00,0.026,2,0.037,1,2,2,1,1
,90,0.002,0.2,,30,,,,2024-04-23 06:00,0.021,2,0.038,1,2,2,1,1
,92,0.002,0.2,,30,,,,2024-04-23 05:00,0.016,2,0.039,1,2,2,1,1
,92,0.002,0.2,,35,,,,2024-04-23 04:00,0.020,2,0.035,1,2,2,1,1
,100,0.002,0.2,,31,,,,2024-04-23 03:00,0.024,2,0.030,1,1,2,1,1
,105,0.002,0.2,,31,,,,2024-04-23 02:00,0.021,2,0.034,1,2,3,1,1
,109,0.002,0.2,,34,,,,2024-04-23 01:00,0.040,2,0.013,1,1,3,2,1
,120,0.003,0.3,,74,,,,2024-04-22 24:00,0.036,2,0.033,1,2,3,2,1
,109,0.004,0.3,,80,,,,2024-04-22 23:00,0.048,2,0.030,1,1,3,2,1
,161,0.006,0.3,,75,,,,2024-04-22 22:00,0.070,2,0.024,1,1,3,3,1
,95,0.004,0.3,,69,,,,2024-04-22 21:00,0.046,2,0.045,1,2,2,2,1
,90,0.002,0.2,,53,,,,2024-04-22 20:00,0.034,2,0.059,1,2,2,2,1
,87,0.002,0.2,,59,,,,2024-04-22 19:00,0.043,2,0.054,1,2,2,2,1
,82,0.002,0.2,,44,,,,2024-04-22 18:00,0.032,2,0.063,1,2,2,2,1
,89,0.002,0.2,,51,,,,2024-04-22 17:00,0.017,2,0.077,1,2,2,1,1
,92,0.002,0.2,,52,,,,2024-04-22 16:00,0.012,2,0.080,1,2,2,1,1
,88,0.002,0.2,,47,,,,2024-04-22 15:00,0.013,2,0.075,1,2,2,1,1
,79,0.002,0.2,,48,,,,2024-04-22 14:00,0.018,2,0.065,1,2,2,1,1
,79,0.002,0.2,,44,,,,2024-04-22 13:00,0.014,2,0.061,1,2,2,1,1
