so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag
1,56,0.003,0.3,29,2,2,1,2024-04-23 11:00,1,0.017,1,0.037,,,,
1,51,0.003,0.3,24,2,2,1,2024-04-23 10:00,1,0.018,1,0.031,,,,
1,50,0.003,0.3,27,1,1,1,2024-04-23 09:00,1,0.019,1,0.030,,,,
1,50,0.003,0.3,33,1,1,1,2024-04-23 08:00,1,0.026,1,0.014,,,,
1,48,0.003,0.3,37,1,1,1,2024-04-23 07:00,1,0.025,1,0.008,,,,
1,48,0.003,0.3,26,1,1,1,2024-04-23 06:00,1,0.029,1,0.006,,,,
1,50,0.003,0.3,27,1,1,1,2024-04-23 05:00,1,0.020,1,0.016,,,,
1,50,0.003,0.3,25,1,1,1,2024-04-23 04:00,1,0.019,1,0.017,,,,
1,51,0.003,0.3,27,1,2,1,2024-04-23 03:00,1,0.016,1,0.023,,,,
1,51,0.003,0.3,33,1,2,1,2024-04-23 02:00,1,0.015,1,0.027,,,,
1,50,0.003,0.3,21,1,1,1,2024-04-23 01:00,1,0.018,1,0.027,,,,
1,50,0.003,0.3,32,1,1,1,2024-04-22 24:00,1,0.020,1,0.024,,,,
1,47,0.003,0.5,39,1,1,1,2024-04-22 23:00,1,0.025,1,0.019,,,,
1,48,0.003,0.6,27,1,1,1,2024-04-22 22:00,1,0.029,1,0.022,,,,
1,43,0.003,0.5,32,1,1,1,2024-04-22 21:00,1,0.024,1,0.026,,,,
1,53,0.003,0.5,22,2,2,1,2024-04-22 20:00,1,0.019,1,0.033,,,,
1,58,0.003,0.4,20,2,2,1,2024-04-22 19:00,1,0.014,1,0.040,,,,
1,60,0.003,0.3,18,2,2,1,2024-04-22 18:00,1,0.013,1,0.042,,,,
,-,-,-,28,,,,2024-04-22 17:00,,-,1,-,통신장애,통신장애,통신장애,통신장애
,-,-,-,28,,,,2024-04-22 16:00,,-,1,-,통신장애,통신장애,통신장애,통신장애
1,52,0.003,0.3,22,2,2,1,2024-04-22 15:00,1,0.020,1,0.032,,,,
1,51,0.003,0.3,18,2,2,1,2024-04-22 14:00,1,0.017,1,0.031,,,,
1,50,0.003,0.3,22,1,1,1,2024-04-22 13:00,1,0.016,1,0.030,,,,
