coFlag,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,so2Flag,dataTime,no2Value,pm10Grade,o3Value
통신장애,67,-,-,27,2,2,1,통신장애,2024-04-23 12:00,0.007,1,0.050
통신장애,67,-,-,28,2,2,1,통신장애,2024-04-23 11:00,0.007,1,0.050
통신장애,63,-,-,28,2,2,1,통신장애,2024-04-23 10:00,0.009,1,0.045
통신장애,65,-,-,25,2,2,1,통신장애,2024-04-23 09:00,0.009,1,0.048
통신장애,67,-,-,23,2,2,1,통신장애,2024-04-23 08:00,0.011,1,0.050
통신장애,68,-,-,22,2,2,1,통신장애,2024-04-23 07:00,0.009,1,0.051
통신장애,68,-,-,21,2,2,1,통신장애,2024-04-23 06:00,0.007,1,0.052
통신장애,71,-,-,20,2,2,1,통신장애,2024-04-23 05:00,0.004,1,0.055
통신장애,71,-,-,19,2,2,1,통신장애,2024-04-23 04:00,0.003,1,0.055
통신장애,72,-,-,21,2,2,1,통신장애,2024-04-23 03:00,0.003,1,0.056
통신장애,72,-,-,27,2,2,1,통신장애,2024-04-23 02:00,0.003,1,0.056
통신장애,67,-,-,26,2,2,1,통신장애,2024-04-23 01:00,0.004,1,0.050
통신장애,64,-,-,27,2,2,1,통신장애,2024-04-22 24:00,0.004,1,0.047
통신장애,63,-,-,23,2,2,1,통신장애,2024-04-22 23:00,0.005,1,0.045
통신장애,63,-,-,24,2,2,1,통신장애,2024-04-22 22:00,0.006,1,0.046
통신장애,62,-,-,27,2,2,1,통신장애,2024-04-22 21:00,0.007,1,0.044
통신장애,59,-,-,27,2,2,1,통신장애,2024-04-22 20:00,0.010,1,0.041
통신장애,57,-,-,32,2,2,1,통신장애,2024-04-22 19:00,0.012,1,0.038
통신장애,58,-,-,27,2,2,1,통신장애,2024-04-22 18:00,0.011,1,0.039
통신장애,60,-,-,29,2,2,1,통신장애,2024-04-22 17:00,0.008,1,0.042
통신장애,60,-,-,23,2,2,1,통신장애,2024-04-22 16:00,0.008,1,0.042
통신장애,56,-,-,25,2,2,1,통신장애,2024-04-22 15:00,0.010,1,0.037
통신장애,53,-,-,24,2,2,1,통신장애,2024-04-22 14:00,0.011,1,0.034
