so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag
1,57,0.004,0.4,37,1,2,1,2024-04-23 11:00,1,0.023,2,0.028,,,,
1,56,0.004,0.3,43,1,2,1,2024-04-23 10:00,1,0.025,2,0.027,,,,
1,59,0.004,0.4,38,1,2,1,2024-04-23 09:00,1,0.026,2,0.026,,,,
1,61,0.003,0.4,32,1,2,1,2024-04-23 08:00,1,0.026,2,0.028,,,,
1,64,0.003,0.4,29,2,2,1,2024-04-23 07:00,1,0.018,2,0.036,,,,
1,64,0.004,0.4,34,2,2,1,2024-04-23 06:00,1,0.015,2,0.042,,,,
1,64,0.004,0.4,36,2,2,1,2024-04-23 05:00,1,0.019,2,0.039,,,,
1,61,0.004,0.4,34,2,2,1,2024-04-23 04:00,1,0.023,2,0.038,,,,
1,61,0.006,0.5,33,2,2,1,2024-04-23 03:00,1,0.016,2,0.040,,,,
1,61,0.004,0.4,33,2,2,1,2024-04-23 02:00,1,0.015,2,0.040,,,,
1,64,0.007,0.5,37,2,2,1,2024-04-23 01:00,1,0.016,2,0.038,,,,
1,63,0.003,0.4,44,2,2,1,2024-04-22 24:00,1,0.014,2,0.040,,,,
1,63,0.003,0.4,46,2,2,1,2024-04-22 23:00,1,0.020,2,0.037,,,,
1,62,0.003,0.4,44,2,2,1,2024-04-22 22:00,1,0.024,2,0.033,,,,
1,63,0.006,0.4,37,1,2,1,2024-04-22 21:00,1,0.025,2,0.030,,,,
1,-,0.008,0.4,42,1,,1,2024-04-22 20:00,1,0.024,,0.030,,,,
1,-,0.008,0.4,42,1,,1,2024-04-22 19:00,1,0.024,,0.029,,,,
1,-,0.006,0.4,47,1,,1,2024-04-22 18:00,1,0.025,,0.028,,,,
1,-,0.004,0.4,43,1,,1,2024-04-22 17:00,1,0.024,,0.027,,,,
1,-,0.003,0.4,43,1,,1,2024-04-22 16:00,1,0.025,,0.026,,,,
1,-,0.003,0.4,45,1,,1,2024-04-22 15:00,1,0.022,,0.027,,,,
1,-,0.003,0.4,45,1,,1,2024-04-22 14:00,1,0.021,,0.028,,,,
,-,-,-,48,,,,2024-04-22 13:00,,-,,-,통신장애,통신장애,통신장애,통신장애
