so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,pm10Flag
1,79,0.009,0.5,39,2,2,1,2024-04-23 12:00,1,0.005,2,0.065,
1,80,0.009,0.6,43,2,2,1,2024-04-23 11:00,1,0.005,2,0.066,
1,79,0.009,0.6,40,2,2,1,2024-04-23 10:00,1,0.007,2,0.058,
1,77,0.009,0.6,40,2,2,1,2024-04-23 09:00,1,0.008,2,0.036,
1,77,0.010,0.7,42,1,2,1,2024-04-23 08:00,1,0.014,2,0.015,
1,77,0.010,0.7,39,1,2,1,2024-04-23 07:00,1,0.011,2,0.012,
1,74,0.009,0.7,40,1,2,1,2024-04-23 06:00,1,0.010,2,0.013,
1,74,0.008,0.7,44,1,2,1,2024-04-23 05:00,1,0.009,2,0.019,
1,72,0.009,0.8,38,1,2,1,2024-04-23 04:00,1,0.009,2,0.019,
1,69,0.009,0.8,37,1,2,1,2024-04-23 03:00,1,0.009,2,0.025,
1,69,0.008,0.8,37,2,2,1,2024-04-23 02:00,1,0.008,2,0.036,
1,66,0.007,0.7,37,2,2,1,2024-04-23 01:00,1,0.007,2,0.044,
1,69,0.007,0.7,37,2,2,1,2024-04-22 24:00,1,0.008,2,0.045,
1,69,0.007,0.6,32,2,2,1,2024-04-22 23:00,1,0.007,2,0.051,
1,72,0.006,0.6,36,2,2,1,2024-04-22 22:00,1,0.006,2,0.055,
1,73,0.006,0.6,38,2,2,1,2024-04-22 21:00,1,0.006,2,0.057,
1,-,0.006,0.6,41,2,,1,2024-04-22 20:00,1,0.006,,0.057,
1,-,0.008,0.6,45,2,,1,2024-04-22 19:00,1,0.006,,0.055,
1,-,0.008,0.6,-,2,,1,2024-04-22 18:00,1,0.006,,0.056,통신장애
1,77,0.008,0.6,-,2,2,1,2024-04-22 17:00,1,0.006,2,0.058,통신장애
1,79,0.007,0.6,41,2,2,1,2024-04-22 16:00,1,0.005,2,0.061,
1,82,0.006,0.5,41,2,2,1,2024-04-22 15:00,1,0.005,2,0.061,
1,82,0.006,0.5,47,2,2,1,2024-04-22 14:00,1,0.005,2,0.061,
