so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag,pm10Flag
1,78,0.002,0.2,32,2,2,1,2024-04-23 11:00,1,0.008,2,0.064,,,,,
1,70,0.002,0.2,33,2,2,1,2024-04-23 10:00,1,0.010,2,0.054,,,,,
1,59,0.002,0.2,30,2,2,1,2024-04-23 09:00,1,0.017,2,0.041,,,,,
1,55,0.002,0.2,41,1,2,1,2024-04-23 08:00,1,0.027,2,0.009,,,,,
1,54,0.002,0.2,45,1,2,2,2024-04-23 07:00,1,0.031,2,0.003,,,,,
1,52,0.002,0.2,32,1,2,1,2024-04-23 06:00,1,0.024,2,0.007,,,,,
1,52,0.002,0.2,31,1,2,1,2024-04-23 05:00,1,0.023,2,0.009,,,,,
1,52,0.002,0.2,27,1,2,1,2024-04-23 04:00,1,0.010,2,0.023,,,,,
1,53,0.002,0.2,31,1,2,1,2024-04-23 03:00,1,0.010,2,0.026,,,,,
1,54,0.002,0.2,27,2,2,1,2024-04-23 02:00,1,0.010,2,0.032,,,,,
1,56,0.002,0.2,30,1,2,1,2024-04-23 01:00,1,0.028,2,0.023,,,,,
1,61,0.002,0.2,31,2,2,1,2024-04-22 24:00,1,0.012,2,0.043,,,,,
1,64,0.002,0.2,32,2,2,1,2024-04-22 23:00,1,0.015,2,0.047,,,,,
1,66,0.002,0.2,36,2,2,1,2024-04-22 22:00,1,0.013,2,0.049,,,,,
1,63,0.002,0.2,40,2,2,1,2024-04-22 21:00,1,0.015,2,0.041,,,,,
1,63,0.002,0.2,48,2,2,1,2024-04-22 20:00,1,0.013,2,0.041,,,,,
1,65,0.002,0.2,41,2,2,1,2024-04-22 19:00,1,0.012,2,0.048,,,,,
1,69,0.002,0.2,43,2,2,1,2024-04-22 18:00,1,0.010,2,0.053,,,,,
1,69,0.002,0.2,38,2,2,1,2024-04-22 17:00,1,0.008,2,0.053,,,,,
1,68,0.002,0.2,42,2,2,1,2024-04-22 16:00,1,0.008,2,0.051,,,,,
,-,-,-,48,,,,2024-04-22 15:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,
,-,-,-,-,,,,2024-04-22 14:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,68,0.002,0.2,41,2,2,1,2024-04-22 13:00,1,0.008,2,0.052,,,,,
