coFlag,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,so2Flag,dataTime,no2Value,pm10Grade,o3Value
통신장애,63,-,-,33,2,2,1,통신장애,2024-04-23 11:00,0.009,1,0.046
통신장애,62,-,-,33,2,2,1,통신장애,2024-04-23 10:00,0.009,1,0.044
통신장애,63,-,-,23,2,2,1,통신장애,2024-04-23 09:00,0.010,1,0.046
통신장애,65,-,-,25,2,2,1,통신장애,2024-04-23 08:00,0.009,1,0.048
통신장애,64,-,-,26,2,2,1,통신장애,2024-04-23 07:00,0.010,1,0.047
통신장애,68,-,-,24,2,2,1,통신장애,2024-04-23 06:00,0.007,1,0.051
통신장애,70,-,-,21,2,2,1,통신장애,2024-04-23 05:00,0.005,1,0.054
통신장애,71,-,-,24,2,2,1,통신장애,2024-04-23 04:00,0.004,1,0.055
통신장애,71,-,-,26,2,2,1,통신장애,2024-04-23 03:00,0.004,1,0.055
통신장애,70,-,-,32,2,2,1,통신장애,2024-04-23 02:00,0.004,1,0.054
통신장애,65,-,-,25,2,2,1,통신장애,2024-04-23 01:00,0.005,1,0.048
통신장애,64,-,-,26,2,2,1,통신장애,2024-04-22 24:00,0.006,1,0.047
통신장애,66,-,-,26,2,2,1,통신장애,2024-04-22 23:00,0.005,1,0.049
통신장애,66,-,-,27,2,2,1,통신장애,2024-04-22 22:00,0.006,1,0.049
통신장애,64,-,-,25,2,2,1,통신장애,2024-04-22 21:00,0.006,1,0.047
통신장애,63,-,-,24,2,2,1,통신장애,2024-04-22 20:00,0.006,1,0.045
통신장애,60,-,-,30,2,2,1,통신장애,2024-04-22 19:00,0.008,1,0.042
통신장애,59,-,-,34,2,2,1,통신장애,2024-04-22 18:00,0.007,1,0.041
통신장애,59,-,-,30,2,2,1,통신장애,2024-04-22 17:00,0.008,1,0.041
통신장애,59,-,-,19,2,2,1,통신장애,2024-04-22 16:00,0.008,1,0.041
통신장애,56,-,-,22,2,2,1,통신장애,2024-04-22 15:00,0.008,1,0.037
통신장애,53,-,-,23,2,2,1,통신장애,2024-04-22 14:00,0.008,1,0.034
