so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag
1,-,0.002,0.2,29,2,1,2024-04-23 11:00,1,0.005,1,0.057,,,,
1,-,0.002,0.2,26,2,1,2024-04-23 10:00,1,0.006,1,0.055,,,,
1,-,0.002,0.2,17,2,1,2024-04-23 09:00,1,0.005,1,0.055,,,,
1,-,0.002,0.2,17,2,1,2024-04-23 08:00,1,0.006,1,0.051,,,,
1,-,0.002,0.2,21,2,1,2024-04-23 07:00,1,0.006,1,0.050,,,,
1,-,0.002,0.2,23,2,1,2024-04-23 06:00,1,0.006,1,0.048,,,,
1,-,0.002,0.2,23,2,1,2024-04-23 05:00,1,0.005,1,0.047,,,,
1,-,0.001,0.2,22,2,1,2024-04-23 04:00,1,0.005,1,0.044,,,,
1,-,0.001,0.2,24,2,1,2024-04-23 03:00,1,0.006,1,0.039,,,,
1,-,0.001,0.2,24,2,1,2024-04-23 02:00,1,0.005,1,0.040,,,,
1,-,0.002,0.2,16,2,1,2024-04-23 01:00,1,0.006,1,0.037,,,,
1,-,0.002,0.2,22,2,1,2024-04-22 24:00,1,0.006,1,0.039,,,,
1,-,0.002,0.2,23,2,1,2024-04-22 23:00,1,0.007,1,0.035,,,,
1,-,0.002,0.2,23,2,1,2024-04-22 22:00,1,0.006,1,0.036,,,,
1,-,0.002,0.2,21,2,1,2024-04-22 21:00,1,0.005,1,0.039,,,,
1,-,0.002,0.2,25,2,1,2024-04-22 20:00,1,0.006,1,0.040,,,,
1,-,0.001,0.2,24,2,1,2024-04-22 19:00,1,0.007,1,0.040,,,,
1,-,0.001,0.3,24,2,1,2024-04-22 18:00,1,0.007,1,0.041,,,,
1,-,0.002,0.3,23,2,1,2024-04-22 17:00,1,0.007,1,0.041,,,,
1,-,0.002,0.3,22,2,1,2024-04-22 16:00,1,0.006,1,0.043,,,,
1,-,0.002,0.3,23,2,1,2024-04-22 15:00,1,0.006,1,0.044,,,,
1,-,0.002,0.3,20,2,1,2024-04-22 14:00,1,0.006,1,0.042,,,,
,-,-,-,16,,,2024-04-22 13:00,,-,1,-,통신장애,통신장애,통신장애,통신장애
