so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag,pm10Flag
1,67,0.002,0.4,22,2,2,1,2024-04-23 12:00,1,0.005,1,0.050,,,,,
1,65,0.003,0.4,26,2,2,1,2024-04-23 11:00,1,0.006,1,0.048,,,,,
1,63,0.002,0.4,20,2,2,1,2024-04-23 10:00,1,0.007,1,0.045,,,,,
1,60,0.003,0.4,22,2,2,1,2024-04-23 09:00,1,0.009,1,0.042,,,,,
1,62,0.003,0.4,23,2,2,1,2024-04-23 08:00,1,0.008,1,0.044,,,,,
1,62,0.002,0.4,23,2,2,1,2024-04-23 07:00,1,0.009,1,0.044,,,,,
1,61,0.002,0.3,19,2,2,1,2024-04-23 06:00,1,0.010,1,0.043,,,,,
1,65,0.002,0.3,14,2,2,1,2024-04-23 05:00,1,0.005,1,0.048,,,,,
1,66,0.002,0.3,15,2,2,1,2024-04-23 04:00,1,0.004,1,0.049,,,,,
1,65,0.002,0.3,19,2,2,1,2024-04-23 03:00,1,0.004,1,0.048,,,,,
1,63,0.002,0.3,20,2,2,1,2024-04-23 02:00,1,0.004,1,0.046,,,,,
1,62,0.002,0.3,27,2,2,1,2024-04-23 01:00,1,0.005,1,0.044,,,,,
1,62,0.002,0.3,26,2,2,1,2024-04-22 24:00,1,0.005,1,0.044,,,,,
1,61,0.002,0.3,27,2,2,1,2024-04-22 23:00,1,0.006,1,0.043,,,,,
1,61,0.002,0.4,30,2,2,1,2024-04-22 22:00,1,0.006,1,0.043,,,,,
1,58,0.003,0.4,24,2,2,1,2024-04-22 21:00,1,0.010,1,0.040,,,,,
1,57,0.002,0.4,27,2,2,1,2024-04-22 20:00,1,0.013,1,0.038,,,,,
1,65,0.003,0.4,28,2,2,1,2024-04-22 19:00,1,0.007,1,0.048,,,,,
1,65,0.003,0.4,28,2,2,1,2024-04-22 18:00,1,0.007,1,0.048,,,,,
1,-,0.003,0.4,28,2,,1,2024-04-22 17:00,1,0.006,,0.046,,,,,
,-,-,-,24,,,,2024-04-22 16:00,,-,,-,통신장애,통신장애,통신장애,통신장애,
,-,-,-,-,,,,2024-04-22 15:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,73,0.002,0.3,-,2,2,1,2024-04-22 14:00,1,0.006,2,0.058,,,,,통신장애
